공원명,공원구분,소재지지번주소,위도,경도,공원면적,데이터기준일자
오목,근린공원,서울특별시 양천구 목1동 921,37.527761,126.873091,21470.4,2024-10-14
무지개,어린이공원,서울특별시 양천구 목1동 925-1,37.528935,126.867044,2375.1,2024-10-14
용왕산,근린공원,서울특별시 양천구 목2동 199-51,37.541663,126.875061,213552.0,2024-10-14
목동,근린공원,서울특별시 양천구 목2동 517 외 37,37.546529,126.879301,13366.0,2024-10-14
달마을,근린공원,서울특별시 양천구 목2동 946-1,37.543331,126.868045,35214.0,2024-10-14
한두,어린이공원,서울특별시 양천구 목3동 611-1,37.549391,126.865352,986.1,2024-10-14
백석,어린이공원,서울특별시 양천구 목3동 646-23,37.545356,126.864912,708.4,2024-10-14
무궁화,어린이공원,서울특별시 양천구 목3동 712-1,37.541877,126.864247,984.6,2024-10-14
목동누리,어린이공원,서울특별시 양천구 목3동 965-1,37.546104,126.865222,2190.0,2024-10-14
나말,어린이공원,서울특별시 양천구 목4동 724-1,37.538689,126.864464,1002.2,2024-10-14
정목,어린이공원,서울특별시 양천구 목4동 767-1,37.536923,126.868305,987.3,2024-10-14
모세미,어린이공원,서울특별시 양천구 목4동 772-1,37.535262,126.868644,988.9,2024-10-14
마장,어린이공원,서울특별시 양천구 목4동 791-22,37.533508,126.864686,785.4,2024-10-14
파리,문화공원,서울특별시 양천구 목5동 906,37.534645,126.877186,29619.3,2024-10-14
목마,근린공원,서울특별시 양천구 목5동 910,37.538161,126.885426,12816.8,2024-10-14
햇님,어린이공원,서울특별시 양천구 목5동 901-2,37.539933,126.879386,2299.5,2024-10-14
별님,어린이공원,서울특별시 양천구 목5동 902-2,37.537814,126.875231,4211.4,2024-10-14
영도,어린이공원,서울특별시 양천구 목5동 903-2,37.535067,126.872941,2985.4,2024-10-14
진달래,어린이공원,서울특별시 양천구 목5동 904-1,37.531972,126.870154,6517.0,2024-10-14
달님,어린이공원,서울특별시 양천구 목5동 911-5,37.535171,126.885482,3659.2,2024-10-14
장미,어린이공원,서울특별시 양천구 목5동 912-1,37.534427,126.882744,3963.8,2024-10-14
은하수,어린이공원,서울특별시 양천구 목5동 913-1,37.533387,126.878583,3815.8,2024-10-14
신대,어린이공원,서울특별시 양천구 신월1동 100-1,37.534828,126.832752,1003.1,2024-10-14
돌다리,어린이공원,서울특별시 양천구 신월1동 119,37.531941,126.835812,925.1,2024-10-14
반곡,어린이공원,서울특별시 양천구 신월1동 230-1,37.529181,126.835481,946.7,2024-10-14
곰달래,어린이공원,서울특별시 양천구 신월1동 234-11외 4,37.528711,126.837905,945.1,2024-10-14
신월,어린이공원,서울특별시 양천구 신월1동 240,37.527015,126.838167,1148.2,2024-10-14
신곡,어린이공원,서울특별시 양천구 신월2동 459,37.526252,126.845112,990.4,2024-10-14
꽃동산,어린이공원,서울특별시 양천구 신월2동 471,37.526443,126.848436,1002.9,2024-10-14
신장,어린이공원,서울특별시 양천구 신월2동 486,37.524231,126.842737,983.8,2024-10-14
신월2동소공원,소공원,서울특별시 양천구 신월2동 1063-3,37.517502,126.848298,3001.0,2024-10-14
남부,어린이공원,서울특별시 양천구 신월3동 156,37.534821,126.826044,995.9,2024-10-14
경인,어린이공원,서울특별시 양천구 신월3동 196,37.532106,126.828788,1161.6,2024-10-14
태양,어린이공원,서울특별시 양천구 신월4동 422-1,37.524353,126.838614,998.1,2024-10-14
남도,어린이공원,서울특별시 양천구 신월4동 426-4,37.524405,126.840798,1009.9,2024-10-14
문화,어린이공원,서울특별시 양천구 신월4동 515,37.521202,126.842733,992.1,2024-10-14
꿀벌,어린이공원,서울특별시 양천구 신월4동 531,37.519986,126.842014,1005.2,2024-10-14
당곡,어린이공원,서울특별시 양천구 신월4동 542,37.518649,126.840006,1055.3,2024-10-14
당뒤,어린이공원,서울특별시 양천구 신월5동 13-1,37.541496,126.828616,1068.8,2024-10-14
방아다리,어린이공원,서울특별시 양천구 신월5동 56-1,37.538641,126.828308,927.3,2024-10-14
송죽,어린이공원,서울특별시 양천구 신월5동 65,37.539399,126.833858,444.9,2024-10-14
신오,어린이공원,서울특별시 양천구 신월5동 73-2,37.538178,126.831469,932.4,2024-10-14
강월,어린이공원,서울특별시 양천구 신월6동 1004,37.515639,126.836422,2755.6,2024-10-14
강신,어린이공원,서울특별시 양천구 신월6동 1012-2,37.515669,126.838421,1500.0,2024-10-14
아동,어린이공원,서울특별시 양천구 신월7동 922-1,37.523024,126.833504,1500.2,2024-10-14
한울,근린공원,서울특별시 양천구 신월7동 956,37.519698,126.832681,15465.4,2024-10-14
오솔길,근린공원,서울특별시 양천구 신월7동 977,37.521068,126.836526,18047.2,2024-10-14
금실,어린이공원,서울특별시 양천구 신월7동 985,37.518409,126.837199,3378.8,2024-10-14
독서,근린공원,서울특별시 양천구 신월7동 987,37.519783,126.834992,19380.8,2024-10-14
신월,근린공원,서울특별시 양천구 신월7동 987-2,37.517521,126.833892,33058.0,2024-10-14
곰달래,근린공원,서울특별시 양천구 신월7동 904-1,37.524918,126.833053,12234.0,2024-10-14
양지,근린공원,서울특별시 양천구 신월7동 936,37.522204,126.830867,9013.4,2024-10-14
온수도시자연공원,도시농업공원,서울특별시 양천구 신월동 산85-4 일대,37.505895,126.840021,1003471.0,2024-10-14
해태,어린이공원,서울특별시 양천구 신정1동 1017-5,37.521748,126.862147,1046.8,2024-10-14
양명,어린이공원,서울특별시 양천구 신정1동 1050-3,37.519271,126.854392,667.4,2024-10-14
신트리,근린공원,서울특별시 양천구 신정1동 310-7,37.514686,126.856359,16409.3,2024-10-14
꿈나무,어린이공원,서울특별시 양천구 신정1동 311-1,37.517641,126.858518,3148.2,2024-10-14
개나리,어린이공원,서울특별시 양천구 신정1동 312-2,37.517709,126.862844,3500.0,2024-10-14
꽃사과,어린이공원,서울특별시 양천구 신정1동 313-2,37.520069,126.864623,1738.6,2024-10-14
단지,어린이공원,서울특별시 양천구 신정1동 1033-18,37.519694,126.854131,3997.9,2024-10-14
신정,어린이공원,서울특별시 양천구 신정2동 128-198,37.520437,126.874778,487.0,2024-10-14
신세계,어린이공원,서울특별시 양천구 신정2동 119-3,37.521691,126.875895,1674.0,2024-10-14
꽃사슴,어린이공원,서울특별시 양천구 신정3동 1195,37.521702,126.848443,1009.1,2024-10-14
학마을,어린이공원,서울특별시 양천구 신정3동 1293-4,37.508919,126.843669,1500.0,2024-10-14
신기,어린이공원,서울특별시 양천구 신정3동 1260,37.514092,126.854244,1534.0,2024-10-14
계남,근린공원,"서울특별시 양천구 신정3동 521, 621일대",37.513745,126.844816,440173.0,2024-10-14
푸른,어린이공원,서울특별시 양천구 신정3동 1283-1,37.511603,126.837445,2574.9,2024-10-14
신이,어린이공원,서울특별시 양천구 신정3동 1284-1,37.512521,126.837529,1510.3,2024-10-14
넘은들,근린공원,서울특별시 양천구 신정3동 1286,37.512951,126.840441,16159.6,2024-10-14
하늘마루,어린이공원,서울특별시 양천구 신정3동 1316-2,37.512571,126.831703,1500.0,2024-10-14
연의,근린공원,서울특별시 양천구 신정3동 1320-9외 6필지,37.514067,126.830401,37520.0,2024-10-14
숲속,어린이공원,서울특별시 양천구 신정3동 1322-10,37.514551,126.830941,1500.0,2024-10-14
넓은들,어린이공원,서울특별시 양천구 신정3동 767,37.511317,126.839385,3288.0,2024-10-14
신정3동소공원,소공원,서울특별시 양천구 신정3동 831,37.50612432,126.8339302,3353.0,2024-10-14
동개울,어린이공원,서울특별시 양천구 신정4동 876-1,37.527916,126.856519,991.2,2024-10-14
오구,어린이공원,서울특별시 양천구 신정4동 888-1,37.527272,126.861874,738.4,2024-10-14
홍익,어린이공원,서울특별시 양천구 신정4동 896-22,37.528547,126.862274,990.8,2024-10-14
앞산,어린이공원,서울특별시 양천구 신정4동 910-9,37.526441,126.858307,1050.5,2024-10-14
진주,어린이공원,서울특별시 양천구 신정4동 920-3,37.526494,126.855036,940.5,2024-10-14
음골,어린이공원,서울특별시 양천구 신정4동 936-13,37.527336,126.851231,995.4,2024-10-14
안산,어린이공원,서울특별시 양천구 신정4동 949-4,37.524593,126.856172,992.1,2024-10-14
새뚝,어린이공원,서울특별시 양천구 신정4동 955-1,37.524029,126.857728,961.3,2024-10-14
은행정,어린이공원,서울특별시 양천구 신정4동 975-30,37.522027,126.855022,1062.2,2024-10-14
아랫말,어린이공원,서울특별시 양천구 신정4동 990-1,37.525063,126.861828,947.7,2024-10-14
양천,근린공원,서울특별시 양천구 신정6동 320,37.518124,126.867861,33797.9,2024-10-14
꿈동산,어린이공원,서울특별시 양천구 신정6동 314-1,37.521912,126.867457,3730.1,2024-10-14
다람쥐,어린이공원,서울특별시 양천구 신정6동 327-1,37.513482,126.866021,2265.5,2024-10-14
까치,어린이공원,서울특별시 양천구 신정6동 328-1,37.514958,126.868243,2149.8,2024-10-14
꿈나래,어린이공원,서울특별시 양천구 신정6동 329-2,37.516283,126.869774,2433.9,2024-10-14
기린,어린이공원,서울특별시 양천구 신정6동 330-1,37.516283,126.869774,2029.7,2024-10-14
사슴,어린이공원,서울특별시 양천구 신정6동 332-1,37.515672,126.873427,2511.3,2024-10-14
갈산,근린공원,서울특별시 양천구 신정7동 162-56,37.508129,126.869032,139576.0,2024-10-14
목련,어린이공원,서울특별시 양천구 신정7동 325-2,37.511439,126.858322,2498.5,2024-10-14
호돌이,어린이공원,서울특별시 양천구 신정7동 326-2,37.512426,126.861336,3399.7,2024-10-14
세양,어린이공원,서울특별시 양천구 신정7동 1306-2,37.506814,126.864025,1560.7,2024-10-14
신정7동소공원,소공원,서울특별시 양천구 신정7동 171-61,37.5092629,126.8688037,2553.0,2024-10-14
